"","PID","HHID","Sex","Ethnicity","Age","BMI","Grip","Religion","ReligionPublic","ReligionPrivate","GodInequality","EducationYears","PeaceVote","AbortionLegal","QueerMarriageOK","DrugsLegal","GiveOther","LeaveOther","ReduceOther","ChildrenAlive","hh_wealth","RelPub","RelPri","GodIneq","community"
"405","BE3","RAP","F","MESTIZO",22.3333333333333,20.8122033348209,"19.7","CATHOLIC","AFEWTIMESPERMONTH","NEVER","NO",10,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",8,65,0,0,23371.2,2,2,2,"altiplano"
"406","BJ7","CPD","F","MESTIZO",65.5833333333333,23.4293552812071,"12.125","NONE","NEVER","NEVER","NO",0,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",9,28,4,1,5455.2,2,2,2,"altiplano"
"407","C1C","KQA","F","MESTIZO",18.8333333333333,18.0146368924751,"20.175","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",6,"DONTKNOW","DISAGREE","AGREE","DISAGREE",10,56,3,0,16305,2,2,2,"altiplano"
"408","C3Z","XDV","F","MESTIZO",53.9166666666667,16.5289256198347,"29.5625","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",0,"AGREE","DISAGREE","AGREE","DISAGREE",5,65,0,6,4325.2,2,1,2,"altiplano"
"409","CPF","E4P","F","MESTIZO",59.0833333333333,24.8009002770083,"21.2","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","DONTKNOW",5,"DONTKNOW","DISAGREE","DONTKNOW","DISAGREE",10,65,0,5,5529.2,2,1,2,"altiplano"
"410","DQ1","V1F","F","MESTIZO",64.25,29.4580970384373,"16.65","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",2,"AGREE","DISAGREE","AGREE","DISAGREE",9,65,0,6,23719.2,2,1,1,"altiplano"
"411","E5E","WM8","M","AFROCOLOMBIAN",19.25,20.9338148026565,"46.2","SPIRITUAL","NEVER","EVERYDAY","NO",11,"AGREE","DONTKNOW","AGREE","AGREE",9,65,0,0,5413.2,2,1,2,"altiplano"
"412","FCQ","Y0J","M","MESTIZO",26.5833333333333,21.0197710718002,"36.975","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",5,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,65,0,2,3316.2,2,1,1,"altiplano"
"413","FRM","XPJ","M","MESTIZO",45.4166666666667,22.8515625,"38.35","CHRISTIAN","AFEWTIMESPERMONTH","EVERYDAY","NO",5,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",9,65,0,7,4625.7,2,1,2,"altiplano"
"414","FZH","TEP","F","MESTIZO",53.1666666666667,23.1111111111111,"24.3","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",5,"DISAGREE","DISAGREE","AGREE","DISAGREE",6,65,0,2,4809.2,2,1,2,"altiplano"
"415","HDU","FXR","M","MESTIZO",61,20.8558680367766,"35.925","CHRISTIAN","AFEWTIMESPERYEAR","AFEWTIMESPERMONTH","YES",1,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",8,52,0,6,4064.2,2,2,1,"altiplano"
"416","HFX","BT9","F","MESTIZO",44.8333333333333,28.3355226121224,"29.5625","CATHOLIC","AFEWTIMESPERYEAR","NEVER","YES",0,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,56,3,4,5125.2,2,2,1,"altiplano"
"417","J7V","RAP","F","MESTIZO",24.5833333333333,27.7199166800192,"28.225","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",11,"AGREE","AGREE","DISAGREE","AGREE",8,65,1,2,23371.2,2,2,2,"altiplano"
"418","JAQ","WM8","F","AFROCOLOMBIAN",45.8333333333333,25.3010211857948,"34.425","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",2,"AGREE","DISAGREE","AGREE","DISAGREE",3,61,0,5,5413.2,2,1,2,"altiplano"
"419","JAU","KQA","F","MESTIZO",30.0833333333333,21.2128418549346,"21.975","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","DONTKNOW",8,"DISAGREE","DISAGREE","AGREE","AGREE",6,54,8,2,16305,2,1,2,"altiplano"
"420","JC9","NEB","F","EMBERA",66.9166666666667,26.1852806982742,"21.875","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",5,"AGREE","DISAGREE","DISAGREE","DONTKNOW",9,65,0,8,3946.2,2,1,1,"altiplano"
"421","JYJ","E4P","M","MESTIZO",47.8333333333333,22.2618575769586,"39.35","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",3,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",10,63,2,2,5529.2,2,1,1,"altiplano"
"422","K4M","NEB","M","MESTIZO",22.4166666666667,22.1120293847567,"43.275","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",8,"AGREE","AGREE","DISAGREE","DISAGREE",10,48,8,0,3946.2,2,2,2,"altiplano"
"423","KJE","RAP","M","MESTIZO",31.75,28.6404537656245,"49.075","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",5,"DISAGREE","DISAGREE","AGREE","DISAGREE",9,65,0,1,23371.2,2,1,1,"altiplano"
"424","KVG","V1F","M","MESTIZO",16,18.8846371882086,"29.5625","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",10,"AGREE","DISAGREE","AGREE","DISAGREE",10,65,0,0,23719.2,2,1,2,"altiplano"
"425","MAA","BNA","F","MESTIZO",88.8333333333333,20.7355976731094,"9.225","CATHOLIC","AFEWTIMESPERMONTH","MORETHANONCEPERDAY","DONTKNOW",0,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",0,65,0,5,24954.2,2,1,2,"altiplano"
"426","MKC","FXR","F","MESTIZO",38,32.722457174591,"22.85","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","UNKNOWN",0,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",8,59,0,11,4064.2,2,2,2,"altiplano"
"427","P1A","BNA","M","MESTIZO",46.5833333333333,20.7755317743427,"36.4","SPIRITUAL","AFEWTIMESPERYEAR","EVERYDAY","NO",2,"AGREE","DONTKNOW","DISAGREE","DISAGREE",10,65,0,0,24954.2,2,1,2,"altiplano"
"428","PFE","BQV","M","MESTIZO",30.3333333333333,30.0350031992171,"40.225","NONE","NEVER","EVERYDAY","DONTKNOW",3,"DISAGREE","DISAGREE","DONTKNOW","DISAGREE",10,60,4,2,1408.4,2,1,2,"altiplano"
"429","QDP","RAP","F","MESTIZO",30.6666666666667,25.0761095978209,"23.35","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","DONTKNOW",11,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,65,0,2,23371.2,2,1,2,"altiplano"
"430","QXJ","KEA","M","MESTIZO",17.3333333333333,21.5510204081633,"37.775","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","YES",11,"AGREE","DISAGREE","AGREE","DISAGREE",10,53,2,0,4064.2,2,2,1,"altiplano"
"431","R5E","RAP","M","MESTIZO",68.3333333333333,22.645731260368,"31.975","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",3,"AGREE","DISAGREE","DISAGREE","DISAGREE",8,65,2,7,23371.2,2,1,2,"altiplano"
"432","RBF","B6C","F","MESTIZO",62,30.8171745152355,"23.025","CATHOLIC","AFEWTIMESPERMONTH","MORETHANONCEPERDAY","NO",5,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",5,65,1,2,8112.2,2,1,2,"altiplano"
"433","RTM","XPJ","M","MESTIZO",15.25,17.5392374571869,"27.7","CHRISTIAN","ONCEPERWEEK","AFEWTIMESPERWEEK","YES",7,"AGREE","DISAGREE","DISAGREE","DISAGREE",8,57,1,0,4625.7,1,2,1,"altiplano"
"434","RX9","RAP","M","MESTIZO",39.1666666666667,25.2345091821905,"51.4","CATHOLIC","AFEWTIMESPERMONTH","MORETHANONCEPERDAY","YES",5,"AGREE","DISAGREE","DISAGREE","AGREE",7,65,0,2,23371.2,2,1,1,"altiplano"
"435","SA9","GP1","M","MESTIZO",34.0833333333333,20.390625,"29.5625","SPIRITUAL","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","NO",3,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,54,1,0,704.2,2,2,2,"altiplano"
"436","SAH","E3E","F","MESTIZO",26.4166666666667,36.5036420395421,"23.025","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","YES",11,"DISAGREE","DONTKNOW","DISAGREE","DISAGREE",8,65,0,2,2112.2,2,2,1,"altiplano"
"437","SCN","CPD","M","MESTIZO",42.1666666666667,23.9766319120451,"26.5","CHRISTIAN","AFEWTIMESPERMONTH","NEVER","YES",3,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",9,0,0,3,5455.2,2,2,1,"altiplano"
"438","T5X","RAP","F","MESTIZO",61.8333333333333,34.0888888888889,"20.65","CATHOLIC","AFEWTIMESPERMONTH","MORETHANONCEPERDAY","YES",0,"AGREE","DISAGREE","DISAGREE","DISAGREE",8,65,1,7,23371.2,2,1,1,"altiplano"
"439","T8A","V1F","M","MESTIZO",39.0833333333333,28.360839609037,"25.95","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",3,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,44,0,1,23719.2,2,1,1,"altiplano"
"440","TS8","V59","F","MESTIZO",34.5833333333333,40.7075962539022,"26.35","CATHOLIC","AFEWTIMESPERYEAR","NEVER","YES",3,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",9,24,2,1,3806.2,2,2,1,"altiplano"
"441","TUH","KEA","F","MESTIZO",27,19.2805974698979,"27.4","CATHOLIC","AFEWTIMESPERMONTH","NEVER","NO",11,"DISAGREE","DISAGREE","AGREE","DISAGREE",9,36,0,0,4064.2,2,2,2,"altiplano"
"442","U1J","WYS","F","MESTIZO",57.0833333333333,28.3111111111111,"22.45","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",5,"AGREE","DISAGREE","AGREE","AGREE",8,65,0,2,6273.2,2,1,2,"altiplano"
"443","U3A","BT9","M","MESTIZO",34.3333333333333,25.4680384550514,"29.5625","SPIRITUAL","NEVER","NEVER","NO",5,"DISAGREE","DISAGREE","DISAGREE","AGREE",8,62,3,1,5125.2,2,2,2,"altiplano"
"444","U5Q","XPJ","F","MESTIZO",44.8333333333333,27.1084337349398,"40.95","CHRISTIAN","ONCEPERWEEK","EVERYDAY","YES",3,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",10,55,5,7,4625.7,1,1,1,"altiplano"
"445","U7Y","WYS","M","MESTIZO",68.75,25.46875,"18.925","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","NO",2,"AGREE","DONTKNOW","DISAGREE","AGREE",10,65,0,3,6273.2,2,2,2,"altiplano"
"446","VR3","GP1","M","MESTIZO",19.5833333333333,17.6253805479891,"29.5625","SPIRITUAL","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","NO",3,"DISAGREE","DISAGREE","DISAGREE","AGREE",10,57,1,0,704.2,2,2,2,"altiplano"
"447","WAY","KQA","M","MESTIZO",14.3333333333333,19.6590324749812,"40.45","NONE","AFEWTIMESPERYEAR","EVERYDAY","NO",6,"DONTKNOW","DISAGREE","AGREE","DISAGREE",9,65,0,0,16305,2,1,2,"altiplano"
"448","WN8","RAP","M","MESTIZO",31.4166666666667,25.7093425605536,"41.25","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","NO",12,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",8,65,0,1,23371.2,2,2,2,"altiplano"
"449","WPU","WM8","M","AFROCOLOMBIAN",17.4166666666667,19.4388585655463,"42.525","CATHOLIC","ONCEPERWEEK","EVERYDAY","NO",12,"DONTKNOW","DISAGREE","DISAGREE","AGREE",9,65,0,0,5413.2,1,1,2,"altiplano"
"450","WQV","Y0J","F","MESTIZO",23,26.5203475080018,"20.7","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",5,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,11,0,2,3316.2,2,1,1,"altiplano"
"451","X3T","KEA","F","MESTIZO",24,21.3398994562429,"21.05","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",11,"DONTKNOW","DISAGREE","AGREE","DISAGREE",9,65,1,0,4064.2,2,1,2,"altiplano"
"452","Y34","BQV","F","MESTIZO",29.1666666666667,29.1215297574668,"26","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","DONTKNOW",2,"DISAGREE","DISAGREE","DONTKNOW","DISAGREE",8,51,0,1,1408.4,2,2,2,"altiplano"
"453","Y3K","HHQ","F","MESTIZO",44.5,35.7879040392965,"21.7","CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","YES",3,"AGREE","DISAGREE","DISAGREE","DISAGREE",9,65,0,6,28314.2,2,2,1,"altiplano"
"454","YHT","KQA","M","MESTIZO",33.3333333333333,22.9065743944637,"42.675","NONE","NEVER","NEVER","NO",4,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",8,65,0,1,16305,2,2,2,"altiplano"
"455","YMS","V1F","M","MESTIZO",41,30.7923242322204,"29.5625","CATHOLIC","ONCEPERWEEK","NEVER","NO",0,"AGREE","DISAGREE","DISAGREE","DISAGREE",8,0,0,0,23719.2,1,2,2,"altiplano"
"456","Z5Y","WYS","F","MESTIZO",15.5833333333333,20.7825107900169,"20.625","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",10,"DISAGREE","AGREE","AGREE","AGREE",10,65,0,0,6273.2,2,1,2,"altiplano"
"457","Z6Z","XPJ","F","MESTIZO",24.9166666666667,26.0546875,"31.325","NONE","NEVER","NEVER","NO",6,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",10,61,3,1,4625.7,2,2,2,"altiplano"
"458","ZST","V1F","F","MESTIZO",15.0833333333333,21.8938605619147,"29.5625","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",10,"AGREE","DISAGREE","AGREE","DISAGREE",8,62,1,0,23719.2,2,1,1,"altiplano"
"459","W01","TEP","F","MESTIZO",19.0833333333333,21.1702175577677,"22.65","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",11,"AGREE","DONTKNOW","AGREE","DISAGREE",NA,NA,NA,0,4809.2,2,1,1,"altiplano"
"460","TSK","TEP","F","MESTIZO",48.8333333333333,26.0365006943067,"17.425","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",5,"AGREE","DISAGREE","AGREE","DISAGREE",NA,NA,NA,4,4809.2,2,1,1,"altiplano"
"461","QXR","TEP","F","MESTIZO",25.25,17.793894417271,"21.3","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",11,"DISAGREE","DONTKNOW","AGREE","DISAGREE",NA,NA,NA,0,4809.2,2,1,1,"altiplano"
"462","HM5","XDV","F","MESTIZO",30.25,20.9777777777778,"29.5625","PENTECOSTAL","MORETHANONCEPERWEEK","MORETHANONCEPERDAY","YES",2,"AGREE","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,3,4325.2,1,1,1,"altiplano"
"463","E5B","TEP","F","MESTIZO",21.0833333333333,18.4,"21.025","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",11,"AGREE","AGREE","AGREE","DISAGREE",NA,NA,NA,0,4809.2,2,1,1,"altiplano"
"464","HYX","W2W","F","MESTIZO",24.9166666666667,33.9689152379426,"30.225","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",6,"DISAGREE","DONTKNOW","AGREE","AGREE",NA,NA,NA,2,9754.2,2,1,1,"altiplano"
"465","K95","XDV","M","MESTIZO",24.5,19.6244897959184,"29.5625","PENTECOSTAL","ONCEPERWEEK","EVERYDAY","YES",2,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,1,4325.2,1,1,1,"altiplano"
"466","F97","HHQ","M","MESTIZO",49.25,24.2389472551902,"39.15","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",5,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",NA,NA,NA,6,28314.2,2,1,2,"altiplano"
"467","TGP","KQA","F","MESTIZO",19.0833333333333,20.0444444444444,"21.125","NONE","NEVER","EVERYDAY","YES",5,"DISAGREE","DISAGREE","AGREE","AGREE",NA,NA,NA,1,16305,2,1,1,"altiplano"
