"","PID","HHID","Sex","Ethnicity","Age","BMI","Grip","Religion","ReligionPublic","ReligionPrivate","GodInequality","EducationYears","PeaceVote","AbortionLegal","QueerMarriageOK","DrugsLegal","GiveOther","LeaveOther","ReduceOther","ChildrenAlive","hh_wealth","RelPub","RelPri","GodIneq","community"
"328","NS2","MTJ","M","MESTIZO",24.75,21.5610651974288,"UNKNOWN","NONE","NEVER","EVERYDAY","NO",9,"DONTKNOW","DISAGREE","AGREE","DISAGREE",0,0,0,1,3150,2,1,2,"highland"
"329","NXT","JNH","M","MESTIZO",31.6666666666667,21.8339100346021,"UNKNOWN","NONE","AFEWTIMESPERMONTH","EVERYDAY","YES",5,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",10,127,0,2,11802,2,1,1,"highland"
"330","NYW","FMS","M","MESTIZO",45.5833333333333,27.3702422145329,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",11,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",9,96,5,2,29332,2,1,1,"highland"
"331","NZA","FMS","M","MESTIZO",19.0833333333333,18.5493827160494,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","NEVER","NO",10.5,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",10,125,2,0,29332,2,2,2,"highland"
"332","P67","DMX","F","MESTIZO",17.9166666666667,28.3289047879985,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",11,"DISAGREE","AGREE","AGREE","DISAGREE",10,131,3,0,13610,2,1,1,"highland"
"333","P6B","Q87","F","MESTIZO",44.25,19.7723765432099,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","NO",4,"AGREE","DISAGREE","AGREE","DISAGREE",0,5,0,3,8560,2,2,2,"highland"
"334","P6F","HGB","F","MESTIZO",19.75,18.6709343087944,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","NEVER","NO",11,"DONTKNOW","AGREE","DISAGREE","DISAGREE",10,110,0,0,2510,2,2,2,"highland"
"335","P8M","BFB","M","MESTIZO",39.4166666666667,30.005952172543,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",2,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",10,128,0,3,23550,2,1,1,"highland"
"336","PTP","M4G","F","MESTIZO",31.3333333333333,29.1337935568705,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","DONTKNOW",11,"DONTKNOW","AGREE","DISAGREE","DISAGREE",8,0,2,2,13600,2,1,2,"highland"
"337","PUH","F9Y","F","MESTIZO",49.6666666666667,24.0078602246999,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",5,"DISAGREE","DISAGREE","DISAGREE","AGREE",8,139,0,2,15751,2,1,1,"highland"
